�FREUNDE|FILMLISTE|2020�;;;;;;;;;
Film-Reviewer Erich und Eckert;;;;;;;;;
;;;;;;;;;
"Film
(Deutscher Titel)";"Film
(Originaltitel)";Ersch. Jahr;Filmreihe;FSK;"L�nge
(min)";Gesehen am; Bewertung ;;
V/H/S - Eine m�rderische Sammlung;V/H/S;2012;V/H/S;18;116;12.07.2017; 9,75 ;;
Saw;Saw;2004;Saw;18;103;?; 9,50 ;;
Get Out;Get Out;2017;Get Out;16;104;?; 9,50 ;;
Tucker & Dale vs. Evil;Tucker & Dale vs. Evil;2010;Tucker & Dale vs. Evil;16;89;03.03.2020; 9,25 ;;
Jurassic Park ;Jurassic Park;1993;Jurassic Park;12;123;?; 9,00 ;;
Memento;Memento;2000;Memento;16;109;26.03.2017; 8,75 ;;
American Pie - Jetzt wird geheiratet;American Wedding;2003;American Pie;12;96;04.07.2018; 8,75 ;;
1917;1917;2019;1917;12;119;18.01.2020; 8,75 ;;
Saw II;Saw II;2005;Saw;18;95;?; 8,75 ;;
ES;IT;2017;IT;16;135;?; 8,75 ;;
American Pie - Wie ein hei�er Apfelkuchen;American Pie;1999;American Pie;12;95;02.07.2018; 8,50 ;;
American Pie - Das Klassentreffen;American Reunion;2012;American Pie;12;113;07.07.2018; 8,50 ;;
Blair Witch Project;The Blair Witch Project;1999;Blair Witch;12;105;?; 8,50 ;;
Saw III;Saw III;2006;Saw;18;121;?; 8,50 ;;
Saw V;Saw V;2008;Saw;18;98;?; 8,50 ;;
S-VHS;V/H/S/2;2013;V/H/S;18;96;?; 8,50 ;;
Jigsaw;Jigsaw;2017;Saw;18;92;?; 8,50 ;;
Shutter Island;Shutter Island;2010;Shutter Island;16;138;05.10.2016; 8,25 ;;
Butterfly Effect;The Butterfly Effect;2004;The Butterfly Effect;16;109;30.01.2017; 8,25 ;;
The Invitation - Die Einladung;The Invitation;2015;The Invitation;16;94;19.08.2017; 8,25 ;;
Scary Movie 4;Scary Movie 4;2006;Scary Movie;12;83;?; 8,25 ;;
Sinister;Sinister;2012;Sinister;16;105;?; 8,25 ;;
Der Babadook;The Babadook;2014;The Babadook;16;94;?; 8,25 ;;
Insidious;Insidious;2010;Insidious;16;102;25.10.2016; 8,00 ;;
Paranormal Activity;Paranormal Activity;2007;Paranormal Activity;16;86;31.10.2016; 8,00 ;;
Der Exorzismus von Emily Rose;The Exorcism of Emily Rose;2005;The Exorcism of Emily Rose;12;119;07.01.2017; 8,00 ;;
Final Destination 5;Final Destination 5;2011;Final Destination;18;95;08.08.2017; 8,00 ;;
American Pie 2;American Pie 2;2001;American Pie;12;106;03.07.2018; 8,00 ;;
Das Spiel;Gerald's Game;2017;Gerald's Game;16;103;17.07.2018; 8,00 ;;
Paranormal Activity: Die Gezeichneten;Paranormal Activity: The Marked Ones;2014;Paranormal Activity;16;84;02.06.2020; 8,00 ;;
Gesichter des Todes;Faces of Death;1978;Faces of Death;N.E.;113;?; 8,00 ;;
Jurassic Park III;Jurassic Park III;2001;Jurassic Park;12;92;?; 8,00 ;;
Scary Movie;Scary Movie;2000;Scary Movie;16;88;04.10.2016; 7,75 ;;
Scary Movie 3;Scary Movie 3;2003;Scary Movie;12;84;05.02.2017; 7,75 ;;
Hostel;Hostel;2005;Hostel;18;90;06.03.2017; 7,75 ;;
Creep;Creep;2014;Creep;12;77;14.08.2020; 7,75 ;;
Vergessene Welt: Jurassic Park;The Lost World: Jurassic Park;1997;Jurassic Park;12;129;?; 7,75 ;;
