ÌFREUNDE|FILMLISTE|2021Í;;;;;;;;;;
Film-Reviewer Erich und Eckert;;;;;;;;;;
;;;;;;;;;;
"Film
(Originaltitel)";Genre;Ersch. Jahr;FSK;"Länge
(min)";Gesehen am; Pkt. Erich ; Pkt. Eckert ; Pkt. Gesamt ;;
Countdown;;;16;;04.02.2020; 5,00 ; 5,00 ; 5,00 ;;
The Bye Bye Man;;;16;;10.07.2020; 5,50 ; 5,50 ; 5,50 ;;
Dawn of the Dead;;2004;18;100;17.08.2020; 5,50 ; 6,00 ; 5,75 ;;
La piel que habito;;;16;;27.08.2020; 6,00 ; 6,50 ; 6,25 ;;
Død snø;;;18;;28.08.2020; 3,00 ; 6,00 ; 4,50 ;;
Slashed;;;18;;28.08.2020; 1,50 ; 2,00 ; 1,75 ;;
I Spit on Your Grave;;;18;;29.08.2020; 7,00 ; 6,50 ; 6,75 ;;
House of 1000 Corpses;;;18;;06.09.2020; 1,50 ; 3,00 ; 2,25 ;;
Boogeyman;;2005;16;;09.09.2020; 1,50 ; 1,50 ; 1,50 ;;
Devil;;;16;;10.09.2020; 5,50 ; 8,00 ; 6,75 ;;
One Hour Photo;;2002;12;92;13.09.2020; 5,00 ; 4,00 ; 4,50 ;;
Temple;Supernatural Horror, Japanisch, Independent;2017;16;78;14.09.2020; 4,50 ; 2,50 ; 3,50 ;;
Escape Plan 2: Hades;;;16;;17.09.2020; 2,50 ; 3,00 ; 2,75 ;;
Curse of Chucky;;;16;;26.09.2020; 4,00 ; 4,00 ; 4,00 ;;
The Babysitter: Killer Queen;;;16;;26.09.2020; 3,00 ; 4,00 ; 3,50 ;;
Searching;;;12;;29.09.2020; 6,50 ; 8,50 ; 7,50 ;;
You Were Never Really Here;;;16;;30.09.2020; 2,00 ; 2,00 ; 2,00 ;;
Looper;;2012;16;118;05.10.2020; 6,50 ; 6,50 ; 6,50 ;;
The Hungover Games;;2014;12;84;06.10.2020; 4,00 ; 3,00 ; 3,50 ;;
The Woman in Black;;2012;16;96;12.10.2020; 4,00 ; 4,00 ; 4,00 ;;
Sleepy Hollow;;1999;16;116;15.10.2020; 5,00 ; 5,00 ; 5,00 ;;
Insidious: Chapter 2;;;16;;02.11.2020; 7,00 ; 6,50 ; 6,75 ;;
W lesie dziś nie zaśnie nikt;Splatter Horror, Polnisch, Brutal, Graphic;2020;18;102;06.11.2020; 5,50 ; 3,00 ; 4,25 ;;
Zombie Massacre 2: Reich of the Dead;;;18;;09.11.2020; 1,50 ; 1,50 ; 1,50 ;;
Spiders 3D;;;16;;11.11.2020; 2,00 ; 3,50 ; 2,75 ;;
Kadaver;;;16;;12.11.2020; 6,00 ; 6,50 ; 6,25 ;;
He's Out There;;;16;;17.11.2020; 2,00 ; 2,50 ; 2,25 ;;
JeruZalem;;;16;;19.11.2020; 4,50 ; 5,00 ; 4,75 ;;
Family Blood;;;16;;23.11.2020; 2,00 ; 2,50 ; 2,25 ;;
Fear and Loathing in Las Vegas;;;16;;24.11.2020; 5,00 ; 6,50 ; 5,75 ;;
Seed 2: The New Breed;;;18;;07.12.2020; 1,00 ; 2,50 ; 1,75 ;;
His House;;;16;93;16.12.2020; 2,00 ; 4,00 ; 3,00 ;;
Apostle;;;18;130;23.12.2020; 6,50 ; 6,50 ; 6,50 ;;
Inception;;;12;148;29.12.2020; 8,00 ; 9,00 ; 8,50 ;;
Don't Breathe;;2016;16;88;03.01.2021; 5,00 ; 6,00 ; 5,50 ;;
Fear Dot Com;;2002;16;101;07.01.2021; 4,50 ; 3,50 ; 4,00 ;;
Ouija;;;16;89;14.01.2021; 5,00 ; 3,00 ; 4,00 ;;
Wyrmwood;;;18;;16.01.2021; 3,50 ; 6,00 ; 4,75 ;;
Zombeavers;;;16;;16.01.2021; 4,00 ; 2,50 ; 3,25 ;;
Nightfare;;;18;;16.01.2021; 2,50 ; 3,00 ; 2,75 ;;
Wake of Death;;;16;;17.01.2021; 4,50 ; 4,00 ; 4,25 ;;
Carnage Park;;;18;;17.01.2021; 1,50 ; 2,00 ; 1,75 ;;
The Cured;;;16;;26.01.2021; 0,50 ; 1,50 ; 1,00 ;;
The VVitch: A New-England Folktale;;;16;;27.01.2021; 2,50 ; 5,00 ; 3,75 ;;
Escape Room;;2019;16;99;28.01.2021; 5,50 ; 6,50 ; 6,00 ;;
Clown;;;18;;05.02.2021; 7,00 ; 5,50 ; 6,25 ;;
Us;;;16;;05.02.2021; 4,00 ; 7,00 ; 5,50 ;;
Sonic the Hedgehog;;;6;;06.02.2021; 4,00 ; 6,00 ; 5,00 ;;
Killer Sofa;;;16;;06.02.2021; 1,50 ; 3,00 ; 2,25 ;;
We Summon the Darkness;;;16;91;07.02.2021; 2,00 ; 3,00 ; 2,50 ;;
Down a Dark Hall;;;16;;14.02.2021; 2,50 ; 3,00 ; 2,75 ;;
Sleep No More;;;16;;15.02.2021; 3,50 ; 2,50 ; 3,00 ;;
Vertige;;;16;;17.02.2021; 2,50 ; 2,00 ; 2,25 ;;
Ma;;;16;;18.02.2021; 5,00 ; 7,50 ; 6,25 ;;
Backcountry - Gnadenlose Wildnis;;;16;;24.02.2021; 5,00 ; 4,00 ; 4,50 ;;
Les 7 jours du talion;;2015;18;106;01.03.2021; 6,50 ; 6,50 ; 6,50 ;;
Attack of the Killer Donuts;;;12;;02.03.2021; 1,50 ; 7,00 ; 4,25 ;;
Insidious: Chapter 3;;;16;;03.03.2021; 7,50 ; 5,50 ; 6,50 ;;
Extremity;;;18;;05.03.2021; 1,50 ; 1,50 ; 1,50 ;;
Heilstätten;;;16;;10.03.2021; 5,00 ; 4,50 ; 4,75 ;;
Shimmer Lake;;;12;;14.03.2021; 4,50 ; 7,50 ; 6,00 ;;
기생충;;;16;;26.03.2021; 6,50 ; 7,00 ; 6,75 ;;
Tafanos;;;16;;27.03.2021; 1,50 ; 3,50 ; 2,50 ;;
Hannibal Rising;;;18;;27.03.2021; 8,00 ; 8,50 ; 8,25 ;;
Gnaw;;;18;;31.03.2021; 4,00 ; 2,00 ; 3,00 ;;
The Rezort;;;16;;05.04.2021; 3,50 ; 2,50 ; 3,00 ;;
(T)Raumschiff Surprise - Periode 1;;;6;;06.04.2021; 5,50 ; 7,50 ; 6,50 ;;
I See You;;;16;;08.04.2021; 6,50 ; 7,50 ; 7,00 ;;
Happy Death Day 2U;;;12;;13.04.2021; 4,50 ; 6,50 ; 5,50 ;;
